"district_id","2010","2011","2012","2013","2014","2015","2016"
"d314",77,,65,81,71,83,86
"d301",47,,52,53,63,65,65
"d322",74,,74,75,79,77,82
"d323",84,,81,90,112,91,89
"d315",74,,75,74,78,86,79
"d324",84,,65,67,60,71,69
"d216",78,,89,84,88,89,80
"d316",92,,73,78,81,83,82
"d302",82,,83,84,90,100,92
"d303",104,,108,110,113,107,113
"d217",81,,84,90,103,120,98
"d218",66,,67,72,90,84,78
"d201",79,,84,78,82,83,80
"d420",45,,44,44,46,56,47
"d117",58,,54,54,51,60,51
"d219",82,,85,87,120,97,92
"d118",77,,63,80,77,51,81
"d220",74,,72,67,131,91,86
"d225",85,,89,89,89,81,88
"d416",75,,103,63,93,103,88
"d401",61,,59,60,63,77,64
"d402",37,,35,35,41,41,40
"d202",79,,80,82,80,83,82
"d221",91,,100,107,155,117,106
"d119",55,,46,39,43,50,48
"d120",68,,56,81,85,139,82
"d226",96,,105,105,94,129,88
"d317",82,,74,71,69,84,75
"d121",66,,64,71,64,66,54
"d304",61,,62,63,67,66,66
"d403",56,,64,61,57,60,57
"d417",45,,42,40,46,79,49
"d203",74,,75,75,80,78,82
"d418",52,,52,49,54,56,49
"d204",63,,62,59,59,65,61
"d318",97,,97,109,143,97,122
"d404",44,,45,45,51,48,50
"d405",73,,70,68,71,73,61
"d213",75,,83,90,89,83,84
"d101",27,,27,27,30,25,32
"d222",75,,87,86,89,129,97
"d122",67,,68,76,89,110,73
"d102",58,,61,68,72,76,67
"d205",72,,69,72,73,78,76
"d413",62,,59,57,59,67,59
"d414",49,,49,46,46,56,47
"d206",77,,56,70,73,92,76
"d406",69,,70,73,77,81,73
"d207",72,,78,86,88,84,81
"d112",76,,69,64,67,80,67
"d407",66,,70,67,72,76,69
"d103",46,,48,47,40,71,45
"d227",94,,102,105,118,106,101
"d419",49,,51,51,61,70,48
"d421",88,,90,85,94,111,79
"d408",56,,50,53,54,58,56
"d305",61,,58,66,75,57,57
"d319",105,,86,94,98,142,106
"d325",97,,92,85,128,128,97
"d306",105,,51,70,64,79,69
"d208",96,,100,102,102,139,99
"d228",106,,76,84,93,174,72
"d123",51,,52,47,51,64,52
"d422",73,,76,75,73,80,74
"d415",75,,74,72,68,91,65
"d326",74,,64,69,68,65,66
"d307",80,,75,79,112,86,86
"d229",70,,78,75,97,106,85
"d104",61,,61,62,56,51,57
"d124",63,,69,70,73,81,60
"d114",62,,58,56,55,73,55
"d223",80,,83,84,92,102,86
"d320",124,,118,135,174,230,153
"d105",56,,48,45,44,50,48
"d409",73,,66,68,72,81,63
"d214",86,,66,76,82,107,93
"d209",80,,81,80,83,103,82
"d410",37,,38,39,43,58,40
"d423",41,,42,41,42,46,42
"d115",50,,48,45,48,54,45
"d308",40,,40,31,38,40,39
"d309",49,,52,51,52,52,46
"d106",55,,58,59,58,66,53
"d107",72,,68,72,67,84,66
"d108",57,,57,46,65,66,57
"d311",66,,59,54,54,55,55
"d116",56,,55,52,60,63,66
"d109",48,,46,47,42,42,38
"d230",95,,85,83,76,83,76
"d224",99,,84,104,99,106,98
"d327",62,,73,66,67,156,58
"d310",84,,91,91,106,114,94
"d231",86,,80,88,88,83,79
"d424",59,,54,48,58,50,40
"d411",45,,42,45,45,56,47
"d328",67,,66,80,69,65,67
"d329",63,,63,79,98,116,66
"d321",85,,85,84,75,100,91
"d312",69,,61,68,68,78,82
"d210",89,,90,92,96,90,94
"d110",60,,64,65,64,82,64
"d425",51,,51,53,49,53,52
"d412",42,,38,39,39,44,36
"d111",64,,61,67,75,68,63
"d232",93,,84,94,98,102,97
"d426",39,,39,40,53,37,30
"d215",77,,72,80,70,78,70
"d211",71,,70,72,75,65,67
"d212",86,,94,97,94,101,91
"d113",47,,52,49,56,63,53
"d313",82,,81,87,85,88,95
"d330",86,,100,97,111,99,93
