"district_id","2010","2011","2012","2013","2014","2015","2016"
"d314",38,,37,69,57,57,53
"d301",24,,26,49,63,40,38
"d322",28,,34,65,55,57,62
"d323",43,,43,92,77,74,71
"d315",44,,51,96,63,80,75
"d324",47,,35,41,27,32,31
"d216",41,,45,76,79,64,64
"d316",45,,39,62,59,60,58
"d302",47,,44,90,72,83,81
"d303",61,,64,110,84,85,92
"d217",41,,43,75,65,80,63
"d218",49,,47,95,88,75,67
"d201",43,,40,77,56,57,47
"d420",37,,32,54,52,47,37
"d117",43,,35,52,45,45,33
"d219",42,,47,82,85,59,68
"d118",34,,47,83,69,69,66
"d220",59,,49,82,108,80,79
"d225",73,,80,112,89,77,77
"d416",55,,42,59,50,44,40
"d401",49,,42,74,59,72,70
"d402",25,,25,42,32,31,31
"d202",46,,50,77,63,65,59
"d221",59,,60,118,124,95,92
"d119",36,,25,59,38,45,41
"d120",78,,39,66,61,90,63
"d226",59,,70,109,102,123,104
"d317",48,,43,72,52,54,68
"d121",35,,32,71,48,44,40
"d304",32,,32,58,44,48,58
"d403",32,,30,57,42,40,42
"d417",32,,33,46,38,46,42
"d203",45,,47,105,65,74,75
"d418",37,,36,65,51,51,49
"d204",33,,30,56,41,44,43
"d318",49,,52,84,85,58,70
"d404",32,,34,63,51,49,48
"d405",48,,47,80,57,65,53
"d213",39,,40,72,64,59,60
"d101",15,,13,25,24,16,18
"d222",55,,47,91,71,96,81
"d122",42,,45,77,68,79,64
"d102",44,,37,67,54,54,44
"d205",43,,43,71,61,59,60
"d413",31,,30,46,39,44,41
"d414",29,,28,51,34,38,37
"d206",66,,64,97,62,76,78
"d406",52,,53,102,80,80,68
"d207",31,,30,82,52,53,66
"d112",49,,47,89,62,69,59
"d407",34,,34,49,44,44,43
"d103",28,,26,49,31,47,37
"d227",44,,51,73,78,73,72
"d419",33,,38,66,53,50,44
"d421",52,,47,59,62,72,53
"d408",34,,35,64,44,52,48
"d305",28,,24,64,50,40,35
"d319",54,,49,120,74,99,74
"d325",47,,47,77,95,90,71
"d306",28,,26,58,39,59,56
"d208",48,,46,83,70,67,81
"d228",87,,84,110,99,118,76
"d123",28,,28,54,38,41,41
"d422",35,,30,40,43,45,41
"d415",42,,40,71,53,59,53
"d326",28,,30,66,49,53,50
"d307",39,,38,78,85,60,60
"d229",51,,51,87,78,87,86
"d104",42,,42,75,53,60,49
"d124",45,,51,84,62,52,49
"d114",33,,37,73,53,59,50
"d223",68,,77,134,110,112,105
"d320",58,,75,111,132,126,95
"d105",35,,25,55,36,40,52
"d409",41,,33,63,52,52,49
"d214",57,,50,90,68,72,74
"d209",67,,66,112,94,109,80
"d410",26,,25,43,34,41,33
"d423",29,,25,48,37,37,36
"d115",33,,30,72,43,51,47
"d308",30,,22,29,36,29,24
"d309",24,,26,46,39,37,31
"d106",31,,31,55,49,46,42
"d107",43,,40,78,47,68,57
"d108",43,,34,66,62,57,52
"d311",33,,30,51,43,38,47
"d116",33,,32,69,60,59,61
"d109",25,,25,45,32,30,24
"d230",50,,44,87,58,69,53
"d224",56,,56,94,77,81,79
"d327",42,,51,70,49,48,40
"d310",50,,50,91,72,78,75
"d231",46,,26,88,64,60,68
"d424",39,,35,66,55,39,36
"d411",36,,35,59,40,50,45
"d328",33,,36,67,43,51,51
"d329",32,,29,61,59,89,48
"d321",38,,45,76,71,61,62
"d312",26,,28,62,51,62,71
"d210",43,,49,78,62,61,58
"d110",38,,37,50,47,52,51
"d425",38,,34,60,39,54,48
"d412",25,,23,40,33,36,29
"d111",37,,36,58,62,50,55
"d232",55,,52,99,95,83,90
"d426",27,,28,50,46,33,27
"d215",73,,71,136,81,101,82
"d211",47,,42,77,53,52,51
"d212",48,,46,84,69,73,61
"d113",27,,25,50,37,39,35
"d313",48,,48,83,67,70,69
"d330",54,,65,89,93,85,77
