"district_id","2010","2011","2012","2013","2014","2015","2016"
"d314",37,8,37,69,57,58,54
"d301",25,33,26,49,66,46,42
"d322",28,36,35,67,57,59,62
"d323",44,16,42,87,77,74,66
"d315",41,14,43,80,54,64,60
"d324",49,1,44,58,27,33,31
"d216",41,23,42,74,77,59,61
"d316",45,11,38,60,58,60,56
"d302",47,29,40,90,72,80,77
"d303",61,42,59,102,81,80,84
"d217",41,16,42,68,61,76,57
"d218",48,20,45,83,74,71,62
"d201",42,43,39,74,55,55,46
"d420",35,24,29,48,38,38,32
"d117",41,51,31,50,48,41,32
"d219",41,19,44,81,81,55,65
"d118",33,16,44,72,62,63,61
"d220",53,13,42,80,97,74,71
"d225",69,9,64,95,72,63,64
"d416",54,6,42,60,51,43,39
"d401",49,22,39,65,54,63,59
"d402",25,67,24,40,30,28,28
"d202",45,34,47,70,60,61,55
"d221",59,16,58,113,111,93,85
"d119",36,25,26,59,42,43,41
"d120",73,6,35,115,84,80,46
"d226",57,20,54,84,93,103,87
"d317",45,18,41,70,51,52,63
"d121",35,18,31,66,47,44,38
"d304",32,66,29,55,41,44,51
"d403",32,70,29,57,40,37,38
"d417",29,62,29,41,36,39,34
"d203",43,45,39,81,59,59,62
"d418",36,68,34,58,49,41,41
"d204",30,70,27,47,40,43,38
"d318",50,8,50,83,81,58,70
"d404",32,118,32,58,48,45,44
"d405",46,46,41,74,53,60,47
"d213",39,25,40,71,61,59,56
"d101",16,12,12,25,24,16,18
"d222",48,20,41,85,69,88,75
"d122",37,28,40,68,62,69,55
"d102",31,181,26,45,39,34,31
"d205",41,56,40,68,60,54,55
"d413",32,65,30,46,38,40,37
"d414",28,63,26,46,31,35,31
"d206",48,16,42,71,50,58,54
"d406",45,73,46,81,64,60,52
"d207",31,23,30,80,52,53,64
"d112",47,45,41,83,56,64,52
"d407",31,122,30,46,41,38,38
"d103",29,34,25,51,33,46,35
"d227",41,21,43,65,64,61,60
"d419",30,54,35,57,48,43,38
"d421",48,17,41,58,58,68,47
"d408",35,53,33,58,43,49,43
"d305",28,37,24,63,49,40,33
"d319",55,11,44,113,67,90,66
"d325",47,15,44,71,89,85,66
"d306",25,8,25,56,41,69,59
"d208",47,20,44,81,69,62,74
"d228",52,8,50,86,78,104,53
"d123",28,33,29,56,42,41,40
"d422",35,30,29,39,40,41,37
"d415",41,29,38,65,50,55,47
"d326",28,30,30,65,48,52,48
"d307",35,45,34,69,76,56,53
"d229",46,32,44,74,76,72,70
"d104",39,65,36,66,52,51,42
"d124",42,33,42,69,62,47,47
"d114",31,12,32,62,42,45,38
"d223",67,27,74,129,92,100,92
"d320",57,8,73,107,129,124,92
"d105",29,44,23,45,38,36,37
"d409",38,30,33,59,46,47,45
"d214",53,47,44,82,67,70,68
"d209",58,40,54,96,78,94,66
"d410",24,121,23,41,34,36,30
"d423",27,65,24,42,33,31,31
"d115",31,86,26,56,45,42,37
"d308",28,13,23,29,34,27,25
"d309",24,27,25,45,38,35,31
"d106",30,45,28,50,45,38,39
"d107",41,65,38,68,47,55,45
"d108",36,100,28,57,57,47,43
"d311",34,11,30,51,48,38,47
"d116",33,31,28,57,62,51,52
"d109",26,52,25,43,35,31,25
"d230",50,17,43,82,56,63,51
"d224",55,18,54,87,71,71,65
"d327",45,5,52,75,53,52,43
"d310",49,30,49,88,71,74,71
"d231",46,16,27,83,59,53,60
"d424",42,9,34,64,54,36,33
"d411",32,95,31,54,39,44,39
"d328",33,13,37,66,44,46,56
"d329",33,15,29,62,59,84,47
"d321",38,36,42,71,65,56,55
"d312",26,33,28,62,51,61,72
"d210",43,37,45,73,57,56,52
"d110",38,59,35,49,45,48,46
"d425",36,23,32,57,39,45,42
"d412",24,140,21,38,32,31,26
"d111",35,39,35,58,63,46,50
"d232",54,22,48,84,79,70,74
"d426",27,59,26,47,41,30,26
"d215",71,17,65,119,75,89,71
"d211",44,33,39,69,51,49,46
"d212",45,43,43,79,67,67,55
"d113",26,264,22,40,34,32,30
"d313",47,21,47,84,68,69,67
"d330",54,12,63,87,89,81,72
