"id","2010","2011","2012","2013"
"d101",32,31,30,29
"d102",27,29,29,26
"d103",37,37,33,31
"d104",44,48,48,43
"d105",36,41,37,31
"d106",43,41,42,41
"d107",51,47,53,45
"d108",39,38,42,39
"d109",38,34,39,34
"d110",42,43,44,43
"d111",55,40,39,37
"d112",51,50,52,50
"d113",28,30,30,26
"d114",38,42,43,40
"d115",36,35,38,33
"d116",47,50,46,40
"d117",43,45,43,40
"d118",51,55,51,53
"d119",48,41,42,34
"d120",61,45,43,50
"d121",50,52,52,47
"d122",45,51,48,48
"d123",47,39,38,34
"d124",49,53,48,48
"d201",55,58,62,63
"d202",61,59,58,56
"d203",48,42,43,36
"d204",41,33,40,36
"d205",54,52,53,49
"d206",38,37,37,39
"d207",60,59,64,68
"d208",70,68,71,72
"d209",49,48,47,46
"d210",58,57,56,52
"d211",60,56,56,49
"d212",66,61,68,66
"d213",73,72,74,74
"d214",56,53,47,51
"d215",37,60,53,53
"d216",63,63,66,62
"d217",64,65,61,57
"d218",50,44,48,47
"d219",63,66,42,43
"d220",49,61,54,51
"d221",70,71,71,68
"d222",57,42,47,46
"d223",55,56,62,63
"d224",61,52,64,61
"d225",57,57,55,51
"d226",74,58,55,48
"d227",58,52,48,42
"d228",42,47,50,47
"d229",54,42,48,40
"d230",60,55,70,63
"d231",61,60,61,58
"d232",43,60,63,55
"d301",58,53,54,55
"d302",69,63,63,63
"d303",61,62,64,65
"d304",54,43,45,44
"d305",64,55,53,55
"d306",93,63,81,82
"d307",52,46,52,51
"d308",62,39,30,27
"d309",44,47,46,47
"d310",64,60,62,61
"d311",71,41,39,38
"d312",72,78,74,79
"d313",50,54,49,49
"d314",63,53,54,51
"d315",62,55,58,50
"d316",76,74,65,64
"d317",64,61,66,67
"d318",83,76,91,92
"d319",63,58,57,59
"d320",63,65,66,69
"d321",67,66,64,64
"d322",78,79,85,84
"d323",75,67,67,63
"d324",105,70,60,63
"d325",68,57,60,57
"d326",75,70,75,75
"d327",77,62,85,76
"d328",73,76,68,68
"d329",70,64,58,59
"d330",71,65,66,62
"d401",53,43,46,43
"d402",37,36,35,33
"d403",50,46,49,42
"d404",38,37,39,37
"d405",55,53,51,48
"d406",44,42,43,41
"d407",45,46,52,43
"d408",54,45,50,48
"d409",49,48,46,44
"d410",33,32,34,32
"d411",41,40,43,42
"d412",35,33,33,32
"d413",50,49,53,48
"d414",43,41,41,39
"d415",62,62,62,53
"d416",63,57,60,61
"d417",37,37,39,34
"d418",44,47,51,44
"d419",41,44,45,41
"d420",41,40,38,36
"d421",58,55,55,52
"d422",56,50,56,50
"d423",40,38,40,35
"d424",50,37,38,36
"d425",45,41,42,38
"d426",65,39,39,37
