"id","entity-name","year","value"
"d314","Abim",2010,
"d314","Abim",2011,
"d314","Abim",2012,
"d314","Abim",2013,65
"d301","Adjumani",2010,
"d301","Adjumani",2011,
"d301","Adjumani",2012,
"d301","Adjumani",2013,54
"d322","Agago",2010,
"d322","Agago",2011,
"d322","Agago",2012,
"d322","Agago",2013,65
"d323","Alebtong",2010,
"d323","Alebtong",2011,
"d323","Alebtong",2012,
"d323","Alebtong",2013,58
"d315","Amolatar",2010,
"d315","Amolatar",2011,
"d315","Amolatar",2012,
"d315","Amolatar",2013,69
"d324","Amudat",2010,
"d324","Amudat",2011,
"d324","Amudat",2012,
"d324","Amudat",2013,100
"d216","Amuria",2010,
"d216","Amuria",2011,
"d216","Amuria",2012,
"d216","Amuria",2013,51
"d316","Amuru",2010,
"d316","Amuru",2011,
"d316","Amuru",2012,
"d316","Amuru",2013,77
"d302","Apac",2010,
"d302","Apac",2011,
"d302","Apac",2012,
"d302","Apac",2013,84
"d303","Arua",2010,
"d303","Arua",2011,
"d303","Arua",2012,
"d303","Arua",2013,51
"d217","Budaka",2010,
"d217","Budaka",2011,
"d217","Budaka",2012,
"d217","Budaka",2013,38
"d218","Bududa",2010,
"d218","Bududa",2011,
"d218","Bududa",2012,
"d218","Bududa",2013,67
"d201","Bugiri",2010,
"d201","Bugiri",2011,
"d201","Bugiri",2012,
"d201","Bugiri",2013,36
"d420","Buhweju",2010,
"d420","Buhweju",2011,
"d420","Buhweju",2012,
"d420","Buhweju",2013,33
"d117","Buikwe",2010,
"d117","Buikwe",2011,
"d117","Buikwe",2012,
"d117","Buikwe",2013,22
"d219","Bukedea",2010,
"d219","Bukedea",2011,
"d219","Bukedea",2012,
"d219","Bukedea",2013,51
"d118","Bukomansimbi",2010,
"d118","Bukomansimbi",2011,
"d118","Bukomansimbi",2012,
"d118","Bukomansimbi",2013,60
"d220","Bukwo",2010,
"d220","Bukwo",2011,
"d220","Bukwo",2012,
"d220","Bukwo",2013,77
"d225","Bulambuli",2010,
"d225","Bulambuli",2011,
"d225","Bulambuli",2012,
"d225","Bulambuli",2013,31
"d416","Buliisa",2010,
"d416","Buliisa",2011,
"d416","Buliisa",2012,
"d416","Buliisa",2013,32
"d401","Bundibugyo",2010,
"d401","Bundibugyo",2011,
"d401","Bundibugyo",2012,
"d401","Bundibugyo",2013,59
"d402","Bushenyi",2010,
"d402","Bushenyi",2011,
"d402","Bushenyi",2012,
"d402","Bushenyi",2013,37
"d202","Busia",2010,
"d202","Busia",2011,
"d202","Busia",2012,
"d202","Busia",2013,43
"d221","Butaleja",2010,
"d221","Butaleja",2011,
"d221","Butaleja",2012,
"d221","Butaleja",2013,59
"d119","Butambala",2010,
"d119","Butambala",2011,
"d119","Butambala",2012,
"d119","Butambala",2013,61
"d120","Buvuma",2010,
"d120","Buvuma",2011,
"d120","Buvuma",2012,
"d120","Buvuma",2013,32
"d226","Buyende",2010,
"d226","Buyende",2011,
"d226","Buyende",2012,
"d226","Buyende",2013,28
"d317","Dokolo",2010,
"d317","Dokolo",2011,
"d317","Dokolo",2012,
"d317","Dokolo",2013,62
"d121","Gomba",2010,
"d121","Gomba",2011,
"d121","Gomba",2012,
"d121","Gomba",2013,53
"d304","Gulu",2010,
"d304","Gulu",2011,
"d304","Gulu",2012,
"d304","Gulu",2013,56
"d403","Hoima",2010,
"d403","Hoima",2011,
"d403","Hoima",2012,
"d403","Hoima",2013,47
"d417","Ibanda",2010,
"d417","Ibanda",2011,
"d417","Ibanda",2012,
"d417","Ibanda",2013,44
"d203","Iganga",2010,
"d203","Iganga",2011,
"d203","Iganga",2012,
"d203","Iganga",2013,32
"d418","Isingiro",2010,
"d418","Isingiro",2011,
"d418","Isingiro",2012,
"d418","Isingiro",2013,59
"d204","Jinja",2010,
"d204","Jinja",2011,
"d204","Jinja",2012,
"d204","Jinja",2013,45
"d318","Kaabong",2010,
"d318","Kaabong",2011,
"d318","Kaabong",2012,
"d318","Kaabong",2013,70
"d404","Kabale",2010,
"d404","Kabale",2011,
"d404","Kabale",2012,
"d404","Kabale",2013,56
"d405","Kabarole",2010,
"d405","Kabarole",2011,
"d405","Kabarole",2012,
"d405","Kabarole",2013,60
"d213","Kaberamaido",2010,
"d213","Kaberamaido",2011,
"d213","Kaberamaido",2012,
"d213","Kaberamaido",2013,56
"d101","Kalangala",2010,
"d101","Kalangala",2011,
"d101","Kalangala",2012,
"d101","Kalangala",2013,95
"d222","Kaliro",2010,
"d222","Kaliro",2011,
"d222","Kaliro",2012,
"d222","Kaliro",2013,64
"d122","Kalungu",2010,
"d122","Kalungu",2011,
"d122","Kalungu",2012,
"d122","Kalungu",2013,30
"d102","Kampala",2010,
"d102","Kampala",2011,
"d102","Kampala",2012,
"d102","Kampala",2013,34
"d205","Kamuli",2010,
"d205","Kamuli",2011,
"d205","Kamuli",2012,
"d205","Kamuli",2013,34
"d413","Kamwenge",2010,
"d413","Kamwenge",2011,
"d413","Kamwenge",2012,
"d413","Kamwenge",2013,34
"d414","Kanungu",2010,
"d414","Kanungu",2011,
"d414","Kanungu",2012,
"d414","Kanungu",2013,53
"d206","Kapchorwa",2010,
"d206","Kapchorwa",2011,
"d206","Kapchorwa",2012,
"d206","Kapchorwa",2013,53
"d406","Kasese",2010,
"d406","Kasese",2011,
"d406","Kasese",2012,
"d406","Kasese",2013,36
"d207","Katakwi",2010,
"d207","Katakwi",2011,
"d207","Katakwi",2012,
"d207","Katakwi",2013,55
"d112","Kayunga",2010,
"d112","Kayunga",2011,
"d112","Kayunga",2012,
"d112","Kayunga",2013,34
"d407","Kibaale",2010,
"d407","Kibaale",2011,
"d407","Kibaale",2012,
"d407","Kibaale",2013,41
"d103","Kiboga",2010,
"d103","Kiboga",2011,
"d103","Kiboga",2012,
"d103","Kiboga",2013,27
"d227","Kibuku",2010,
"d227","Kibuku",2011,
"d227","Kibuku",2012,
"d227","Kibuku",2013,21
"d419","Kiruhura",2010,
"d419","Kiruhura",2011,
"d419","Kiruhura",2012,
"d419","Kiruhura",2013,64
"d421","Kiryandongo",2010,
"d421","Kiryandongo",2011,
"d421","Kiryandongo",2012,
"d421","Kiryandongo",2013,21
"d408","Kisoro",2010,
"d408","Kisoro",2011,
"d408","Kisoro",2012,
"d408","Kisoro",2013,58
"d305","Kitgum",2010,
"d305","Kitgum",2011,
"d305","Kitgum",2012,
"d305","Kitgum",2013,16
"d319","Koboko",2010,
"d319","Koboko",2011,
"d319","Koboko",2012,
"d319","Koboko",2013,35
"d325","Kole",2010,
"d325","Kole",2011,
"d325","Kole",2012,
"d325","Kole",2013,51
"d306","Kotido",2010,
"d306","Kotido",2011,
"d306","Kotido",2012,
"d306","Kotido",2013,41
"d208","Kumi",2010,
"d208","Kumi",2011,
"d208","Kumi",2012,
"d208","Kumi",2013,60
"d228","Kween",2010,
"d228","Kween",2011,
"d228","Kween",2012,
"d228","Kween",2013,37
"d123","Kyankwanzi",2010,
"d123","Kyankwanzi",2011,
"d123","Kyankwanzi",2012,
"d123","Kyankwanzi",2013,42
"d422","Kyegegwa",2010,
"d422","Kyegegwa",2011,
"d422","Kyegegwa",2012,
"d422","Kyegegwa",2013,57
"d415","Kyenjojo",2010,
"d415","Kyenjojo",2011,
"d415","Kyenjojo",2012,
"d415","Kyenjojo",2013,43
"d326","Lamwo",2010,
"d326","Lamwo",2011,
"d326","Lamwo",2012,
"d326","Lamwo",2013,94
"d307","Lira",2010,
"d307","Lira",2011,
"d307","Lira",2012,
"d307","Lira",2013,33
"d229","Luuka",2010,
"d229","Luuka",2011,
"d229","Luuka",2012,
"d229","Luuka",2013,24
"d104","Luwero",2010,
"d104","Luwero",2011,
"d104","Luwero",2012,
"d104","Luwero",2013,39
"d124","Lwengo",2010,
"d124","Lwengo",2011,
"d124","Lwengo",2012,
"d124","Lwengo",2013,42
"d114","Lyantonde",2010,
"d114","Lyantonde",2011,
"d114","Lyantonde",2012,
"d114","Lyantonde",2013,71
"d223","Manafwa",2010,
"d223","Manafwa",2011,
"d223","Manafwa",2012,
"d223","Manafwa",2013,44
"d320","Maracha",2010,
"d320","Maracha",2011,
"d320","Maracha",2012,
"d320","Maracha",2013,49
"d105","Masaka",2010,
"d105","Masaka",2011,
"d105","Masaka",2012,
"d105","Masaka",2013,34
"d409","Masindi",2010,
"d409","Masindi",2011,
"d409","Masindi",2012,
"d409","Masindi",2013,50
"d214","Mayuge",2010,
"d214","Mayuge",2011,
"d214","Mayuge",2012,
"d214","Mayuge",2013,26
"d209","Mbale",2010,
"d209","Mbale",2011,
"d209","Mbale",2012,
"d209","Mbale",2013,43
"d410","Mbarara",2010,
"d410","Mbarara",2011,
"d410","Mbarara",2012,
"d410","Mbarara",2013,58
"d423","Mitooma",2010,
"d423","Mitooma",2011,
"d423","Mitooma",2012,
"d423","Mitooma",2013,43
"d115","Mityana",2010,
"d115","Mityana",2011,
"d115","Mityana",2012,
"d115","Mityana",2013,29
"d308","Moroto",2010,
"d308","Moroto",2011,
"d308","Moroto",2012,
"d308","Moroto",2013,69
"d309","Moyo",2010,
"d309","Moyo",2011,
"d309","Moyo",2012,
"d309","Moyo",2013,40
"d106","Mpigi",2010,
"d106","Mpigi",2011,
"d106","Mpigi",2012,
"d106","Mpigi",2013,22
"d107","Mubende",2010,
"d107","Mubende",2011,
"d107","Mubende",2012,
"d107","Mubende",2013,47
"d108","Mukono",2010,
"d108","Mukono",2011,
"d108","Mukono",2012,
"d108","Mukono",2013,39
"d311","Nakapiripirit",2010,
"d311","Nakapiripirit",2011,
"d311","Nakapiripirit",2012,
"d311","Nakapiripirit",2013,79
"d116","Nakaseke",2010,
"d116","Nakaseke",2011,
"d116","Nakaseke",2012,
"d116","Nakaseke",2013,43
"d109","Nakasongola",2010,
"d109","Nakasongola",2011,
"d109","Nakasongola",2012,
"d109","Nakasongola",2013,53
"d230","Namayingo",2010,
"d230","Namayingo",2011,
"d230","Namayingo",2012,
"d230","Namayingo",2013,49
"d224","Namutumba",2010,
"d224","Namutumba",2011,
"d224","Namutumba",2012,
"d224","Namutumba",2013,26
"d327","Napak",2010,
"d327","Napak",2011,
"d327","Napak",2012,
"d327","Napak",2013,54
"d310","Nebbi",2010,
"d310","Nebbi",2011,
"d310","Nebbi",2012,
"d310","Nebbi",2013,54
"d231","Ngora",2010,
"d231","Ngora",2011,
"d231","Ngora",2012,
"d231","Ngora",2013,46
"d424","Ntoroko",2010,
"d424","Ntoroko",2011,
"d424","Ntoroko",2012,
"d424","Ntoroko",2013,96
"d411","Ntungamo",2010,
"d411","Ntungamo",2011,
"d411","Ntungamo",2012,
"d411","Ntungamo",2013,39
"d328","Nwoya",2010,
"d328","Nwoya",2011,
"d328","Nwoya",2012,
"d328","Nwoya",2013,85
"d329","Otuke",2010,
"d329","Otuke",2011,
"d329","Otuke",2012,
"d329","Otuke",2013,81
"d321","Oyam",2010,
"d321","Oyam",2011,
"d321","Oyam",2012,
"d321","Oyam",2013,77
"d312","Pader",2010,
"d312","Pader",2011,
"d312","Pader",2012,
"d312","Pader",2013,56
"d210","Pallisa",2010,
"d210","Pallisa",2011,
"d210","Pallisa",2012,
"d210","Pallisa",2013,45
"d110","Rakai",2010,
"d110","Rakai",2011,
"d110","Rakai",2012,
"d110","Rakai",2013,54
"d425","Rubirizi",2010,
"d425","Rubirizi",2011,
"d425","Rubirizi",2012,
"d425","Rubirizi",2013,29
"d412","Rukungiri",2010,
"d412","Rukungiri",2011,
"d412","Rukungiri",2012,
"d412","Rukungiri",2013,66
"d232","Serere",2010,
"d232","Serere",2011,
"d232","Serere",2012,
"d232","Serere",2013,54
"d426","Sheema",2010,
"d426","Sheema",2011,
"d426","Sheema",2012,
"d426","Sheema",2013,58
"d215","Sironko",2010,
"d215","Sironko",2011,
"d215","Sironko",2012,
"d215","Sironko",2013,51
"d211","Soroti",2010,
"d211","Soroti",2011,
"d211","Soroti",2012,
"d211","Soroti",2013,32
"d111","Ssembabule",2010,
"d111","Ssembabule",2011,
"d111","Ssembabule",2012,
"d111","Ssembabule",2013,41
"d212","Tororo",2010,
"d212","Tororo",2011,
"d212","Tororo",2012,
"d212","Tororo",2013,54
"d113","Wakiso",2010,
"d113","Wakiso",2011,
"d113","Wakiso",2012,
"d113","Wakiso",2013,26
"d313","Yumbe",2010,
"d313","Yumbe",2011,
"d313","Yumbe",2012,
"d313","Yumbe",2013,25
"d330","Zombo",2010,
"d330","Zombo",2011,
"d330","Zombo",2012,
"d330","Zombo",2013,42
