"id","2010","2011","2012","2013"
"d101",13,14,13,12
"d102",19,26,29,21
"d103",18,27,31,18
"d104",18,22,27,21
"d105",19,22,29,18
"d106",15,19,22,15
"d107",20,22,29,24
"d108",18,25,34,20
"d109",19,22,27,23
"d110",19,27,38,29
"d111",23,19,30,18
"d112",18,23,30,21
"d113",17,24,25,19
"d114",19,24,23,20
"d115",19,26,38,20
"d116",15,25,21,18
"d117",17,26,27,22
"d118",20,27,25,29
"d119",18,20,28,19
"d120",14,8,11,12
"d121",14,21,20,18
"d122",19,25,49,21
"d123",15,15,18,15
"d124",21,29,32,22
"d201",19,27,36,26
"d202",20,34,43,28
"d203",26,33,36,26
"d204",22,28,34,27
"d205",26,30,33,28
"d206",25,30,32,27
"d207",15,26,32,27
"d208",23,42,32,23
"d209",20,27,47,25
"d210",21,29,32,26
"d211",20,32,29,25
"d212",21,30,34,26
"d213",20,27,32,24
"d214",21,31,44,28
"d215",20,34,34,21
"d216",23,27,35,25
"d217",25,35,37,28
"d218",26,28,43,33
"d219",27,30,30,28
"d220",22,27,28,29
"d221",18,25,36,26
"d222",23,31,34,37
"d223",21,31,37,29
"d224",23,26,47,35
"d225",21,29,57,31
"d226",31,33,44,31
"d227",31,34,29,20
"d228",24,29,28,26
"d229",23,29,36,26
"d230",25,42,31,35
"d231",22,32,29,26
"d232",16,26,35,24
"d301",21,27,43,21
"d302",20,21,30,22
"d303",17,21,22,17
"d304",21,22,29,19
"d305",27,26,41,32
"d306",31,31,88,37
"d307",16,18,26,23
"d308",19,19,23,19
"d309",18,24,20,21
"d310",19,26,29,24
"d311",22,30,43,25
"d312",13,19,22,17
"d313",19,24,36,23
"d314",33,32,44,30
"d315",19,19,19,20
"d316",22,26,30,21
"d317",15,19,28,21
"d318",21,,30,27
"d319",17,21,21,17
"d320",20,19,22,16
"d321",22,22,27,22
"d322",27,28,39,28
"d323",18,16,19,18
"d324",21,14,14,15
"d325",18,21,19,19
"d326",26,23,28,37
"d327",22,17,18,19
"d328",25,19,29,20
"d329",28,24,23,20
"d330",18,21,24,19
"d401",22,26,35,23
"d402",15,27,27,20
"d403",21,29,36,25
"d404",18,24,28,19
"d405",22,34,39,27
"d406",20,27,29,19
"d407",20,25,30,20
"d408",16,25,31,21
"d409",19,26,39,24
"d410",18,22,24,19
"d411",20,25,26,21
"d412",17,31,37,24
"d413",19,23,24,22
"d414",20,27,22,21
"d415",24,33,31,24
"d416",22,34,34,24
"d417",19,26,22,19
"d418",20,23,31,17
"d419",19,22,24,19
"d420",20,16,26,13
"d421",24,28,25,23
"d422",17,18,29,19
"d423",23,24,33,22
"d424",48,54,69,55
"d425",25,33,25,19
"d426",24,23,30,20
