"district_id","district_name","year","value"
"d314","Abim",2013,
"d314","Abim",2014,76
"d314","Abim",2015,82
"d314","Abim",2016,83
"d301","Adjumani",2013,
"d301","Adjumani",2014,61
"d301","Adjumani",2015,66
"d301","Adjumani",2016,94
"d322","Agago",2013,75.81120944
"d322","Agago",2014,99
"d322","Agago",2015,99
"d322","Agago",2016,94
"d323","Alebtong",2013,
"d323","Alebtong",2014,52
"d323","Alebtong",2015,71
"d323","Alebtong",2016,84
"d315","Amolatar",2013,
"d315","Amolatar",2014,88
"d315","Amolatar",2015,81
"d315","Amolatar",2016,81
"d324","Amudat",2013,88.73239437
"d324","Amudat",2014,96
"d324","Amudat",2015,97
"d324","Amudat",2016,93
"d216","Amuria",2013,
"d216","Amuria",2014,72
"d216","Amuria",2015,73
"d216","Amuria",2016,75
"d316","Amuru",2013,
"d316","Amuru",2014,43
"d316","Amuru",2015,55
"d316","Amuru",2016,87
"d302","Apac",2013,77.08779443
"d302","Apac",2014,90
"d302","Apac",2015,90
"d302","Apac",2016,90
"d303","Arua",2013,
"d303","Arua",2014,2
"d303","Arua",2015,2
"d303","Arua",2016,79
"d217","Budaka",2013,77.62803235
"d217","Budaka",2014,79
"d217","Budaka",2015,88
"d217","Budaka",2016,89
"d218","Bududa",2013,
"d218","Bududa",2014,10
"d218","Bududa",2015,46
"d218","Bududa",2016,71
"d201","Bugiri",2013,90.32921811
"d201","Bugiri",2014,81
"d201","Bugiri",2015,86
"d201","Bugiri",2016,92
"d420","Buhweju",2013,40
"d420","Buhweju",2014,49
"d420","Buhweju",2015,73
"d420","Buhweju",2016,81
"d117","Buikwe",2013,62.51572327
"d117","Buikwe",2014,60
"d117","Buikwe",2015,75
"d117","Buikwe",2016,85
"d219","Bukedea",2013,
"d219","Bukedea",2014,75
"d219","Bukedea",2015,94
"d219","Bukedea",2016,94
"d118","Bukomansimbi",2013,59.64912281
"d118","Bukomansimbi",2014,70
"d118","Bukomansimbi",2015,78
"d118","Bukomansimbi",2016,78
"d220","Bukwo",2013,63.41463415
"d220","Bukwo",2014,95
"d220","Bukwo",2015,96
"d220","Bukwo",2016,89
"d225","Bulambuli",2013,59.46969697
"d225","Bulambuli",2014,53
"d225","Bulambuli",2015,77
"d225","Bulambuli",2016,84
"d416","Buliisa",2013,
"d416","Buliisa",2014,85
"d416","Buliisa",2015,89
"d416","Buliisa",2016,91
"d401","Bundibugyo",2013,
"d401","Bundibugyo",2014,49
"d401","Bundibugyo",2015,73
"d401","Bundibugyo",2016,75
"d402","Bushenyi",2013,88.73720137
"d402","Bushenyi",2014,93
"d402","Bushenyi",2015,97
"d402","Bushenyi",2016,98
"d202","Busia",2013,71.26436782
"d202","Busia",2014,73
"d202","Busia",2015,85
"d202","Busia",2016,86
"d221","Butaleja",2013,
"d221","Butaleja",2014,78
"d221","Butaleja",2015,96
"d221","Butaleja",2016,96
"d119","Butambala",2013,36
"d119","Butambala",2014,36
"d119","Butambala",2015,59
"d119","Butambala",2016,64
"d120","Buvuma",2013,75.75757576
"d120","Buvuma",2014,80
"d120","Buvuma",2015,86
"d120","Buvuma",2016,90
"d226","Buyende",2013,91.2568306
"d226","Buyende",2014,90
"d226","Buyende",2015,93
"d226","Buyende",2016,97
"d317","Dokolo",2013,64.03269755
"d317","Dokolo",2014,66
"d317","Dokolo",2015,85
"d317","Dokolo",2016,86
"d121","Gomba",2013,
"d121","Gomba",2014,62
"d121","Gomba",2015,84
"d121","Gomba",2016,92
"d304","Gulu",2013,
"d304","Gulu",2014,45
"d304","Gulu",2015,66
"d304","Gulu",2016,67
"d403","Hoima",2013,54.55519829
"d403","Hoima",2014,93
"d403","Hoima",2015,98
"d403","Hoima",2016,93
"d417","Ibanda",2013,52.63157895
"d417","Ibanda",2014,60
"d417","Ibanda",2015,77
"d417","Ibanda",2016,77
"d203","Iganga",2013,
"d203","Iganga",2014,94
"d203","Iganga",2015,95
"d203","Iganga",2016,96
"d418","Isingiro",2013,75.90361446
"d418","Isingiro",2014,44
"d418","Isingiro",2015,46
"d418","Isingiro",2016,85
"d204","Jinja",2013,63.08900524
"d204","Jinja",2014,8
"d204","Jinja",2015,12
"d204","Jinja",2016,82
"d318","Kaabong",2013,
"d318","Kaabong",2014,78
"d318","Kaabong",2015,90
"d318","Kaabong",2016,97
"d404","Kabale",2013,52.65700483
"d404","Kabale",2014,53
"d404","Kabale",2015,66
"d404","Kabale",2016,85
"d405","Kabarole",2013,
"d405","Kabarole",2014,56
"d405","Kabarole",2015,64
"d405","Kabarole",2016,67
"d213","Kaberamaido",2013,79.79274611
"d213","Kaberamaido",2014,77
"d213","Kaberamaido",2015,81
"d213","Kaberamaido",2016,96
"d101","Kalangala",2013,
"d101","Kalangala",2014,78
"d101","Kalangala",2015,82
"d101","Kalangala",2016,68
"d222","Kaliro",2013,
"d222","Kaliro",2014,96
"d222","Kaliro",2015,95
