"series","country-year"
"id","youth-unemployment"
"type","simple"
"parent",
"name","Youth unemployment %"
"columns","id, year, value"
"description","youth unemployment %"
"default-scale","lin"
"themes","employment"
"map-theme",
"theme-order",
"global-picture-color-ramp",
"uom","percent"
"uom_display","%"
"source","World Bank World Development Indicators"
"calculation",
"format",
"highorlow","lowisbetter"
"range",
"interpolated","1"
"missing-donor","NA"
"missing-recipient","NA"
"laymans-decription",
"laymans-heading",
"source-link",
